	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC010319.5	0
AC010320.1	0.045437448
AC010320.2	0.046856102
AC010320.3	0
AC010320.4	0
AC010320.5	0
AC010323.1	0.090561534
AC010323.2	0
AC010325.1	0.130228983
AC010325.2	0
AC010326.1	0.043625988
AC010326.2	0.051495774
AC010326.3	2.088650409
AC010326.4	1.683515703
AC010327.1	0
AC010327.2	0
AC010327.3	0.031969379
AC010327.4	0.033307349
AC010327.5	0.025739476
AC010328.1	0
AC010328.2	0.023638924
AC010328.3	0.047491582
AC010329.1	0.022074918
AC010329.2	0.009595486
AC010329.5	0
AC010331.1	0.270750979
AC010332.1	2.166007832
AC010332.2	0
AC010333.1	0
AC010333.2	0
AC010333.3	0.06533046
AC010335.1	0
AC010335.2	0
AC010335.3	0
AC010336.1	0.016625561
AC010336.2	0
AC010336.3	0
AC010336.4	0
AC010336.5	0
AC010336.6	0
AC010338.1	0
AC010342.1	0.089838694
AC010343.1	3.423773111
AC010343.2	0.234489687
AC010343.3	0.05365239
AC010350.1	0
AC010359.1	0.310802899
AC010368.1	0
AC010374.1	0
AC010374.2	0
AC010376.1	0
AC010378.1	0.072549295
AC010385.1	0
AC010385.2	0
AC010385.3	0
AC010387.1	0
AC010395.1	0
AC010395.2	0
AC010401.1	0.005295996
AC010401.2	0
AC010406.1	0
AC010409.1	0
AC010409.2	0.05494319
AC010420.1	0
AC010422.1	0.241830985
AC010422.2	0.124076433
AC010422.3	0.470098657
AC010422.4	0.04927363
AC010422.5	0
AC010422.6	0.17039237
AC010424.1	0.35370835
AC010424.2	0.059284074
AC010425.1	0
AC010435.1	0.044626754
AC010442.1	3.028867514
AC010442.2	0
AC010442.3	0
AC010445.1	0
AC010451.1	0
AC010451.2	0
AC010451.3	0
AC010457.1	0.108524153
AC010460.1	0
AC010460.2	0
AC010460.3	0
AC010463.1	0
AC010463.2	0
AC010463.3	0.367679829
AC010468.1	0.450036511
AC010468.2	0
AC010468.3	0
AC010469.1	0.227976085
AC010469.2	0
AC010476.1	0
AC010478.1	0.022032588
AC010480.1	0
AC010485.1	0
AC010486.1	0.061940672
AC010486.2	0.10874884
AC010486.3	0
AC010487.1	0.768064334
AC010487.2	0.054038776
AC010491.1	0.046948239
AC010493.1	0
AC010501.1	0.013385752
AC010503.1	0
AC010503.2	0
AC010503.3	0
AC010503.4	19.35357906
AC010504.1	0.22446876
AC010511.1	0
AC010519.1	0.07634548
AC010522.1	0
AC010524.1	0
AC010525.1	0.059552936
AC010525.2	0
AC010528.1	0
AC010530.1	0.092312285
AC010531.1	0
AC010531.2	0
AC010531.3	0.102389259
AC010531.4	0
AC010531.5	0
AC010531.6	0.65493379
AC010531.7	0
AC010531.8	0
AC010533.1	0.112287698
AC010536.1	0.100585389
AC010536.2	0
AC010536.3	0.04927363
AC010538.1	0.039612134
AC010542.1	0
AC010542.2	0
AC010542.3	0
AC010542.4	0.027500361
AC010542.5	0.756259933
AC010546.1	0
AC010547.1	0
AC010547.2	0
AC010547.3	0
AC010547.4	0
AC010547.5	0
AC010547.6	0
AC010551.1	0
AC010551.2	0
AC010551.3	0
AC010587.1	0
AC010587.2	0
AC010591.1	0
AC010595.1	0.307273479
AC010598.1	0
AC010601.1	0
AC010601.2	0
AC010605.1	0.065904253
AC010608.1	0.191002509
AC010608.2	0.167635181
AC010608.3	0
AC010609.1	0
AC010615.1	0.133994107
AC010615.2	0.035724818
AC010615.3	0
AC010615.4	0
AC010616.1	0.148587525
AC010618.1	0.055058375
AC010618.2	0.399651989
AC010618.3	0.177880904
AC010619.1	0
AC010619.2	0
AC010620.1	0.023831983
AC010620.2	0
AC010624.1	0.051664613
AC010624.2	0.137023539
AC010624.3	0.110813692
AC010624.4	0
AC010625.1	0
AC010627.1	0
AC010631.1	0
AC010632.1	0
AC010632.2	0
AC010632.3	0
AC010634.1	0
AC010636.1	0
AC010636.2	0
AC010638.1	0
AC010641.1	0
AC010642.1	0
AC010643.1	0.225363058
AC010646.1	0
AC010649.1	0
AC010653.1	0
AC010653.2	0
AC010654.1	0.455049294
AC010655.1	0
AC010655.2	0.158687885
AC010655.3	0
AC010655.4	0
AC010677.1	0.127489539
AC010678.1	0
AC010680.1	0
AC010680.2	0.148868276
AC010680.3	0
AC010680.4	0
AC010680.5	0
AC010683.1	0
AC010719.1	0.175788788
AC010722.1	0
AC010723.1	0
AC010729.1	0
AC010731.1	0
AC010731.2	0.179064852
AC010731.3	0
AC010733.1	1.833814611
AC010733.2	0
AC010735.1	0.076791944
AC010735.2	0
AC010737.1	0
AC010738.1	0
AC010740.1	0
AC010745.1	0.041228956
AC010745.2	0.156512783
AC010745.3	0
AC010745.4	0
AC010746.1	0.174310918
AC010754.1	0.074258751
AC010760.1	0
AC010761.1	0.379774176
AC010761.2	0
AC010761.3	0.421047615
AC010761.4	0
AC010761.5	0
AC010761.6	0
AC010768.1	0
AC010768.2	0
AC010768.3	0
AC010768.4	0
AC010776.1	0
AC010776.2	0
AC010776.3	0
AC010789.1	0
AC010809.1	0.093462082
AC010809.2	0.05448723
AC010809.3	0
AC010834.1	0
AC010834.2	0
AC010834.3	0.111875804
AC010857.1	0
AC010864.1	0.139048815
AC010867.1	0
AC010872.1	0
AC010878.1	0
AC010880.1	0
AC010881.1	0
AC010883.1	0.395922286
AC010884.1	0
AC010886.1	0
AC010889.1	0
AC010890.1	0.097269796
AC010891.1	0
AC010894.1	0
AC010894.2	0.896456149
AC010894.3	0.014192297
AC010894.4	0
AC010894.5	0.02761603
AC010900.1	0.060793623
AC010900.2	0
AC010904.1	0
AC010904.2	0.124272137
AC010907.1	0
AC010907.2	0
AC010913.1	0.00908749
AC010928.1	0
AC010928.2	0
AC010928.3	0
AC010931.1	0
AC010931.2	0.162216461
AC010931.3	0
AC010947.1	0.075794646
AC010967.1	0
AC010967.2	0
AC010967.3	0
AC010969.1	0.04355364
AC010969.2	3.267614879
AC010970.1	1.080073711
AC010973.1	0
AC010973.2	0.128111439
AC010974.1	0
AC010975.1	0
AC010975.2	0
AC010975.3	0
AC010976.1	0.019065586
AC010976.2	0
AC010978.1	0.024250088
AC010980.1	0.665011657
AC010980.2	5.449726327
AC010982.1	0
AC010983.1	0
AC010997.1	0
AC010997.2	0
AC010997.3	0
AC010997.4	0.416870555
AC010997.5	0.074188828
AC010997.6	0.015965255
AC010998.1	0
AC010998.2	0.084041104
AC010998.3	0.582693866
AC010999.1	0
AC010999.2	0.044065176
AC011005.1	0.116983719
AC011005.2	0
AC011005.3	0
AC011005.4	0.04908943
AC011008.1	0
AC011008.2	0.023504933
AC011037.1	0
AC011092.1	0
AC011092.2	0.044817142
AC011095.1	0
AC011120.1	0
AC011124.1	0
AC011124.2	0
AC011131.1	0
AC011155.1	0
AC011193.1	0
AC011193.2	0
AC011195.1	0
AC011195.2	0.025747887
AC011196.1	0
AC011199.1	0
AC011225.1	0
AC011228.1	0
AC011233.1	0
AC011239.1	0
AC011239.2	0.08818954
AC011242.1	0
AC011243.1	0
AC011247.1	0.059418201
AC011247.2	0
AC011247.3	0
AC011257.1	0
AC011266.1	0
AC011270.1	0
AC011270.2	0.010299155
AC011284.1	0
AC011287.1	0.345214342
AC011287.2	0.062382055
AC011290.1	0.063436824
AC011290.2	0.159555559
AC011294.1	0
AC011297.1	0
AC011298.1	0
AC011298.2	0
AC011298.3	0
AC011306.1	0.02059831
AC011313.1	0
AC011330.1	0
AC011330.2	0.496305732
AC011333.1	0
AC011337.1	0.10292945
AC011352.1	0.960431909
AC011352.2	0
AC011352.3	2.391557551
AC011362.1	0
AC011363.1	0.114684912
AC011365.1	0.007551134
AC011365.2	0.032423265
AC011369.1	0
AC011369.2	0.653638132
AC011373.1	0
AC011374.1	6.083862617
AC011374.2	3.694772865
AC011377.1	0.095501254
AC011379.1	0.017363864
AC011379.2	0.025664018
AC011383.1	0
AC011389.1	0
AC011389.2	0
AC011389.3	0
AC011396.1	0
AC011396.2	0
AC011396.3	0
AC011405.1	0.110348088
AC011406.1	0
AC011410.1	0
AC011411.1	0
AC011416.1	0
AC011416.2	0.543369206
AC011431.1	0
AC011442.1	0
AC011443.1	0
AC011444.1	0.082199828
AC011444.2	0
AC011444.3	0
AC011444.4	0.062829773
AC011445.1	0.059892463
AC011445.2	1.062658467
AC011446.1	0
AC011446.2	0
AC011447.1	0
AC011447.2	0
AC011447.3	0.064160045
AC011447.4	0
AC011447.5	0
AC011447.6	0.01010887
AC011447.7	0.445972839
AC011448.1	0.284537865
AC011450.1	0.256222878
AC011451.1	5.382262054
AC011451.2	0
AC011452.1	0
AC011453.1	0
AC011453.2	0
AC011455.1	0
AC011455.2	0
AC011456.1	0
AC011458.1	0.042565389
AC011458.2	0
AC011461.1	0
AC011462.1	0.022351357
AC011462.2	0
AC011462.3	0.097269796
AC011462.4	0.233967438
AC011465.1	0.160139299
AC011466.1	0.046400786
AC011466.2	0.146311114
AC011466.3	0.104114351
AC011466.4	0
AC011467.1	0
AC011467.2	0
AC011467.3	0
AC011467.4	0
AC011467.5	0
AC011467.6	0
AC011468.1	1.400685065
AC011468.2	0
AC011468.3	0.474629728
AC011468.4	0.12842467
AC011468.5	0.631993595
AC011471.1	0
AC011471.2	0
AC011471.3	0
AC011472.1	0.184624569
AC011472.2	1.15019759
AC011472.3	0
AC011472.4	0.21395393
AC011472.5	0.103397027
AC011473.1	0
AC011473.2	0
AC011473.3	0.054150196
AC011473.4	0.013586573
AC011474.1	0
AC011474.2	0
AC011474.3	0
AC011474.4	0
AC011475.1	0
AC011476.1	0
AC011476.2	0.020663135
AC011476.3	0.210255673
AC011476.5	0
AC011477.1	0.711609686
AC011477.2	2.395308335
AC011477.3	1.368535345
AC011477.4	0.04312454
AC011477.5	0
AC011477.6	0
AC011477.7	0.018238087
AC011478.1	0
AC011479.1	1.924017946
AC011479.2	0.121587245
AC011479.3	0.041687055
AC011481.1	0.145500526
AC011481.2	0.061649871
AC011481.3	0.173708485
AC011483.1	0.09799569
AC011483.2	0
AC011483.3	0
AC011484.1	0.026328667
AC011487.1	0.073823879
AC011487.2	0.025659839
AC011487.3	0
AC011487.4	0.050024467
AC011491.1	0
AC011491.2	0
AC011491.3	0
AC011492.1	0.083374111
AC011494.1	0
AC011495.1	0.539647499
AC011495.2	0
AC011495.3	0
AC011497.1	0
AC011497.2	0.575398794
AC011498.1	0.125509414
AC011498.2	0
AC011498.3	0
AC011498.4	0.029132385
AC011498.5	0.054038776
AC011498.6	0.154487323
AC011498.7	0.181391134
AC011499.1	0.090405663
AC011500.1	0
AC011500.2	0
AC011500.3	0
AC011503.1	0.035283715
AC011503.2	0.682833969
AC011504.1	0
AC011506.1	0.086107688
AC011507.1	0
AC011509.1	0
AC011509.2	0
AC011510.1	0
AC011511.1	0
AC011511.2	0.028608764
AC011511.3	0
AC011511.4	0
AC011511.5	0.073428271
AC011516.1	0
AC011518.1	0
AC011523.1	0
AC011524.1	0
AC011524.2	0
AC011525.1	0
AC011525.2	0
AC011530.1	0
AC011551.1	0
AC011558.1	0
AC011586.1	0
AC011591.1	0
AC011592.1	0
AC011595.1	0.069755232
AC011595.2	0
AC011601.1	0
AC011602.1	0
AC011603.1	0
AC011603.2	0.048277289
AC011603.3	0
AC011603.4	0
AC011604.1	0
AC011604.2	0
AC011611.1	0
AC011611.2	0
AC011611.3	0
AC011611.4	0
AC011611.5	0.136312344
AC011611.6	0
AC011625.1	0
AC011626.1	0
AC011632.1	2.080081323
AC011632.2	0
AC011676.1	0.198459786
AC011676.2	0
AC011676.3	0
AC011676.4	0
AC011676.5	0.00987325
AC011700.1	0
AC011712.1	0
AC011718.1	0
AC011726.1	0.039256868
AC011726.2	0
AC011726.3	0
AC011731.1	0.202541221
AC011742.1	0
AC011742.2	0.14922071
AC011742.3	0.128111439
AC011747.1	0.046482911
AC011747.2	0.025350236
AC011752.1	0
AC011753.1	0
AC011753.2	0
AC011753.3	0
AC011753.4	0.168892894
AC011754.1	0
AC011755.1	0.012817396
AC011767.1	0
AC011773.1	0
AC011773.2	0
AC011773.3	0.271828809
AC011773.4	0
AC011815.1	0.305660678
AC011815.2	0.038984926
AC011815.3	0.166571955
AC011816.1	0
AC011816.2	0
AC011824.1	0
AC011824.2	0
AC011824.3	0
AC011824.4	0
AC011825.1	0.135375489
AC011825.2	0.094983164
AC011825.3	0
AC011825.4	0.055523985
AC011840.1	0
AC011840.2	0
AC011840.3	0
AC011840.4	0
AC011840.5	0
AC011840.6	0
AC011853.1	0
AC011853.2	0
AC011890.1	0
AC011890.2	0
AC011891.1	0
AC011891.2	0
AC011893.1	0.183360357
AC011894.1	0
AC011897.1	0.075904176
AC011899.1	0
AC011899.2	0.490104571
AC011899.3	0.681046223
AC011900.1	0
AC011904.1	0
AC011912.1	0.018053167
AC011921.1	0.073155557
AC011921.2	0
AC011921.3	0
AC011933.1	0
AC011933.2	0
AC011933.3	0.070599046
AC011933.4	0
AC011939.1	0.027243615
AC011939.2	0
AC011939.3	0
AC011944.1	0.0829353
AC011944.2	0
AC011978.1	0
AC011978.2	0.61373737
AC011979.1	0.163123261
AC011979.2	0
AC011990.1	0
AC011995.1	0
AC011995.2	0
AC011997.1	0.330830411
AC011998.1	0
AC011998.2	0
AC011998.3	0
AC011999.1	0
AC012005.1	0
AC012020.1	0
AC012038.1	0
AC012038.2	0
AC012044.1	0
AC012048.1	0
AC012050.1	0
AC012055.1	0
AC012055.2	0
AC012065.1	0
AC012065.2	0
AC012065.3	0
AC012065.4	0
AC012065.5	0.362603382
AC012066.1	0.075685432
AC012070.1	0
AC012073.1	1.137740576
AC012074.1	0.15969668
AC012075.1	0
AC012078.1	0
AC012081.1	0.055058375
AC012085.1	0.205983098
AC012085.2	0.067375179
AC012087.1	0
AC012100.1	0
AC012100.2	0.086390937
AC012100.3	0
AC012103.1	0
AC012119.1	0
AC012123.1	0
AC012123.2	0
AC012146.1	0.458225111
AC012146.2	0
AC012146.3	0
AC012146.4	0
AC012150.1	0
AC012150.2	0
AC012157.1	0
AC012158.1	0
AC012170.1	0.073155557
AC012170.2	0.157498321
AC012170.3	0.176854175
AC012173.1	0
AC012174.1	0.257478872
AC012175.1	0
AC012181.1	0.26300417
AC012181.2	0.305890041
AC012182.1	0
AC012183.1	0
AC012184.1	0
AC012184.2	0
AC012184.3	0.348313594
AC012186.1	0
AC012186.2	0.490894298
AC012186.3	0.054150196
AC012213.1	0
AC012213.2	0
AC012213.3	0.811207566
AC012213.4	0
AC012229.1	0
AC012236.1	1.310621821
AC012254.1	0.131314225
AC012254.2	0
AC012254.3	0.01240569
AC012254.4	0.384803589
AC012254.5	0
AC012291.1	0.122437506
AC012301.1	0
AC012306.1	0
AC012306.2	2.042665719
AC012307.1	0
AC012308.1	0
AC012309.1	0
AC012309.2	0
AC012312.1	0
AC012313.1	0.368924951
AC012313.10	0
AC012313.2	0.182064783
AC012313.3	0.031634359
AC012313.4	0.106112505
AC012313.5	0.177381154
AC012313.6	0.13297643
AC012313.7	0
AC012313.8	0.004861689
AC012313.9	0.082978973
AC012314.10	0
AC012317.1	0
AC012317.2	0
AC012321.1	0
AC012322.1	0
AC012339.1	0
AC012339.2	0
AC012349.1	0.008532438
AC012354.1	0
AC012354.2	0.056969295
AC012354.3	0
AC012355.1	0
AC012358.1	0.057342456
AC012358.2	0.494488713
AC012358.3	0.171724993
AC012360.1	0.194828227
AC012360.2	0.94035762
AC012360.3	0.11421939
AC012361.1	0
AC012362.1	0
AC012363.1	0
AC012363.2	0
AC012366.1	0
AC012368.1	0.546027351
AC012368.2	0.18759175
AC012368.3	0.959373332
AC012370.1	0.049552538
AC012370.2	0.010413499
AC012377.1	0
AC012378.1	0
AC012379.1	0
AC012379.2	0
AC012400.1	0
AC012404.1	0.110348088
AC012404.2	0.163801528
AC012409.1	0
AC012409.2	0
AC012409.3	0.107086014
AC012409.4	0
AC012409.5	0.02301067
AC012413.1	0
AC012414.1	0
AC012414.2	0
AC012414.3	0
AC012414.4	0
AC012414.5	0.032787572
AC012414.6	0
AC012414.7	0
AC012417.1	0.02527704
AC012433.1	0
AC012435.1	0.077585953
AC012435.2	0
AC012441.1	0
AC012441.2	0.035538356
AC012442.1	0.248231049
AC012442.2	0.494359435
AC012443.1	0
AC012445.1	0
AC012447.1	0.423594274
AC012451.1	0
AC012454.1	0
AC012456.1	0
AC012456.2	0
AC012462.1	0.159168757
AC012462.2	0
AC012462.3	0
AC012464.1	0.097269796
AC012464.2	0.269708292
AC012464.3	0.018941828
AC012467.1	0
AC012467.2	1.535303751
AC012468.1	0
AC012485.1	0
AC012485.2	0.046648037
AC012486.1	0
AC012488.1	0
AC012491.1	0
AC012493.1	0
AC012493.2	0
AC012493.3	0
AC012494.1	0
AC012497.1	0
AC012498.1	0.54088239
AC012498.2	7.271701696
AC012499.1	0
AC012501.1	0
AC012501.2	0.061505492
AC012506.1	0
AC012506.2	0
AC012506.3	0
AC012506.4	0
AC012507.1	0
AC012507.2	0
AC012507.3	0
AC012508.1	0
AC012508.2	0
AC012510.1	1.764697092
AC012511.1	0.116983719
AC012512.1	0.073155557
AC012513.1	0
AC012513.2	0.023098368
AC012513.3	0.595754517
AC012519.1	0
AC012531.1	0
AC012531.2	0
AC012531.3	0
AC012531.4	0
AC012531.5	0
AC012555.1	0.038965645
AC012555.2	0
AC012557.1	0.214916898
AC012557.2	0
AC012558.1	0
AC012568.1	0
AC012569.1	0
AC012572.1	0
AC012574.1	0
AC012574.2	0
AC012588.1	0
AC012593.1	0
AC012594.1	0
AC012603.1	0.248701183
AC012613.1	0
AC012613.2	0
AC012615.1	0.7480564
AC012615.2	0
AC012615.3	0
AC012615.4	0
AC012615.5	0
AC012615.6	0.042808223
AC012616.1	0
AC012617.1	0.029464673
AC012618.1	0.446213385
AC012618.2	0.030933857
AC012618.3	0.069249426
AC012625.1	0.168082208
AC012629.1	0
AC012629.2	0
AC012629.3	0.160139299
AC012629.4	0
AC012636.1	0.138097236
AC012640.1	0.07634548
AC012640.2	1.136793511
AC012640.3	0
AC012640.4	0.04119662
AC012640.5	0.246986003
AC012645.1	0.684425657
AC012645.2	0
AC012645.3	0.129533144
AC012645.4	0.049505834
AC012651.1	0.022494942
AC012653.1	0
AC012653.2	0.125061166
AC012668.1	0
AC012668.2	0
AC012668.3	0.025900242
AC012669.1	0
AC012671.1	0.12937362
AC012676.1	0.512051364
AC012676.2	0
AC012676.3	0.164485459
AC012676.4	0.045125163
AC012676.5	0.094035762
AC013244.1	0
AC013244.2	0
AC013244.3	0
AC013248.1	0
AC013262.1	0.104217639
AC013264.1	0.865808076
AC013267.1	0
AC013268.1	0.011753343
AC013268.2	0
AC013268.3	0.011300708
AC013269.1	0
AC013269.2	0
AC013270.1	0.179064852
AC013275.1	0
AC013286.1	0
AC013290.1	0
AC013355.1	0
AC013356.1	0.139695984
AC013356.2	0.072051701
AC013356.3	0
AC013356.4	0
AC013391.1	0
AC013391.2	0
AC013391.3	0
AC013394.1	0.066572484
AC013399.1	0
AC013400.1	0
AC013401.1	0
AC013402.1	0
AC013402.2	0
AC013402.3	0
AC013403.1	0
AC013403.2	0.656571124
AC013404.1	0
AC013410.1	0
AC013410.2	0.13066092
AC013412.1	0
AC013417.1	0
AC013429.1	0
AC013429.2	0
AC013436.1	0
AC013437.1	0
AC013439.1	0
AC013442.1	0
AC013444.1	0
AC013444.2	0
AC013448.1	0
AC013448.2	0
AC013451.1	0
AC013451.2	0
AC013452.1	0
AC013452.2	0
AC013457.1	0
AC013460.1	0.008108319
AC013467.1	0
AC013467.2	0
AC013468.1	0.175671204
AC013470.1	0
AC013470.2	0.126873647
AC013470.3	0
AC013470.4	0
AC013472.1	0.030740747
AC013472.2	0
AC013472.3	0.039852572
AC013474.1	0
AC013476.1	0.048906601
AC013476.2	0
AC013480.1	0
AC013488.1	0
AC013489.1	0.022275526
AC013489.2	0
AC013489.3	0
AC013509.1	0
AC013546.1	0
AC013549.1	0.139202358
AC013549.2	0
AC013549.3	0
AC013553.1	0.098362715
AC013553.2	0
AC013553.3	0.469741942
AC013553.4	0.084446447
AC013562.1	0
AC013562.2	0
AC013564.1	0
AC013565.1	0.395922286
AC013565.2	0
AC013565.3	0
AC013640.1	0
AC013643.1	0
AC013643.2	0
AC013643.3	0
AC013644.1	0
AC013652.1	1.288029719
AC013652.2	0.047235333
AC013701.1	0
AC013714.1	0
AC013724.1	0
AC013726.1	0
AC013727.1	0
AC013727.2	0
AC013731.1	0.594854925
AC013733.1	0
AC013733.2	0
AC013734.1	0
AC013762.1	0
AC013791.1	0
AC013799.1	0
AC013828.1	0
AC015468.1	0
AC015468.2	0
AC015468.3	0
AC015468.4	0
AC015522.1	0
AC015540.1	0
AC015563.1	0
AC015563.2	0
AC015574.1	0
AC015656.1	0.117441453
AC015660.1	0
AC015660.2	0.731782058
AC015660.3	1.061125049
AC015660.4	0.042291216
AC015660.5	0.186261312
AC015674.1	0
AC015688.1	0
AC015688.2	0
AC015688.3	0
AC015688.4	0
AC015688.5	0.0359765
AC015688.6	0
AC015688.7	0
AC015689.1	0.682151817
AC015689.2	0.015110958
AC015712.1	0.035514327
AC015712.2	0.464007861
AC015712.3	0
AC015712.4	0
AC015712.5	0
AC015712.6	0.005182093
AC015712.7	0.165435244
AC015720.1	0.094811715
AC015720.2	0
AC015722.1	0
AC015722.2	0.047663965
AC015726.1	1.204027276
AC015726.2	0.215269221
AC015726.3	0
AC015727.1	0.051294619
AC015743.1	0
AC015771.1	0
AC015795.1	0
AC015799.1	0.033648744
AC015802.1	0.199372874
AC015802.2	0
AC015802.3	0.184300666
AC015802.4	0.035157758
AC015802.5	0.329108333
AC015804.1	0
AC015813.1	0.451872763
AC015813.2	0
AC015813.3	0
AC015813.4	0
AC015813.5	0.138773289
AC015813.6	1.04454497
AC015813.7	0
AC015818.1	0
AC015818.2	0
AC015818.3	0.355383558
AC015818.4	0
AC015818.5	0
AC015818.6	0
AC015818.7	0
AC015818.8	0
AC015818.9	0
AC015819.1	0.871466952
AC015819.2	0.094640883
AC015819.3	0
AC015845.1	0
AC015845.2	0
AC015849.1	0
AC015849.2	0
AC015849.3	0.376721137
AC015849.4	0
AC015849.5	0.013704737
AC015849.6	0
AC015853.1	0.088725828
AC015853.2	0
AC015853.3	0.05494319
AC015871.1	0.024294954
AC015871.2	0
AC015871.3	0.662088528
AC015871.4	0
AC015871.5	0
AC015878.1	0
AC015878.2	0
AC015883.1	0.101303163
AC015908.1	0
AC015908.2	0.305381918
AC015908.3	0.307004564
AC015908.4	0
AC015908.5	0
AC015909.1	0
AC015909.2	0
AC015909.3	0
AC015909.4	0
AC015909.5	0.034769874
AC015910.1	0
AC015911.1	0.16835157
AC015911.2	0
AC015911.3	0.525875576
AC015911.4	0.024544715
AC015911.5	0
AC015911.6	0
AC015911.7	2.220553697
AC015911.8	0.656571124
AC015911.9	0
AC015912.1	0
AC015912.2	0.145098591
AC015912.3	0.830147398
AC015914.1	0.024498923
AC015914.2	0
AC015917.1	0
AC015917.2	0.372900436
AC015920.1	0.010719529
AC015921.1	0
AC015922.1	0
AC015922.2	0
AC015922.3	2.951731854
AC015922.4	6.280245534
AC015923.1	0
AC015936.1	0
AC015936.2	0
AC015959.1	0.019072509
AC015961.1	0.024729609
AC015961.2	0.037464829
AC015967.1	0
AC015967.2	0.11223438
AC015969.1	0
AC015971.1	0.045914065
AC015977.1	0
AC015977.2	0
AC015982.1	1.92029404
AC015983.1	0
AC015983.2	0.055641621
AC015987.1	0
AC016026.1	0.01213625
AC016027.1	0.188011418
AC016027.2	0.02106927
AC016027.3	0
AC016027.4	0
AC016027.5	0
AC016044.1	0
AC016065.1	1.423242109
AC016065.2	0
AC016074.1	0
AC016134.1	0
AC016144.1	0
AC016152.1	0
AC016168.1	0
AC016168.2	0
AC016168.3	0
AC016180.1	0
AC016182.1	0
AC016205.1	0.302088799
AC016229.1	0
AC016229.2	0.503843548
AC016245.1	0
AC016251.1	0
AC016251.2	0
AC016252.1	0.110813692
AC016256.1	0
AC016257.1	0
AC016266.1	0
AC016292.1	0
AC016292.2	0
AC016304.1	0
AC016355.1	0.30837
AC016382.1	0.067862648
AC016383.1	0
AC016394.1	1.480777429
AC016394.2	0.191499911
AC016395.1	0
AC016396.1	0.160139299
AC016396.2	0.129738825
AC016397.1	0
AC016397.2	0.039691957
AC016405.1	0
AC016405.2	0.252527355
AC016405.3	0.366458302
AC016493.1	0
AC016526.1	0
AC016526.2	0.101010942
AC016526.3	0
AC016542.1	0.159814472
AC016542.2	0
AC016542.3	0.042427859
AC016546.1	0.113446415
AC016550.1	0
AC016550.2	0
AC016550.3	0
AC016553.1	0
AC016556.1	0
AC016559.1	0
AC016559.2	0
AC016573.1	0.04872513
AC016575.1	0
AC016576.1	0
AC016582.1	0.204053183
AC016582.2	0.036679951
AC016582.3	0.213676993
AC016583.1	0.021606619
AC016586.1	0
AC016588.1	0
AC016590.1	0.00944367
AC016590.2	0
AC016590.3	0.802185171
AC016595.1	0
AC016596.1	0
AC016596.2	9.427687935
AC016597.1	0
AC016597.2	0
AC016598.1	0.046897937
AC016598.2	0
AC016612.1	0
AC016629.1	0
AC016629.2	0
AC016632.1	0
AC016642.1	0
AC016644.1	0
AC016650.1	0
AC016651.1	0
AC016683.1	0
AC016687.1	0.074398994
AC016687.2	0
AC016687.3	0
AC016691.1	0
AC016694.1	0
AC016696.1	0
AC016700.1	0.16835157
AC016700.2	0.841757851
AC016700.3	0
AC016705.1	0
AC016705.2	0.057951389
AC016708.1	0.074751931
AC016710.1	0
AC016712.1	0.277913703
AC016716.1	0
AC016716.2	0
AC016717.1	0
AC016717.2	0.010217018
AC016717.3	0
AC016722.1	0.040280437
AC016722.2	0.057248708
AC016722.3	0.063977698
AC016723.1	0
AC016724.1	0
AC016727.1	0.923146359
AC016727.2	0
AC016730.1	0
AC016734.1	0.481887063
AC016734.2	0
AC016735.1	0
AC016735.2	0
AC016737.1	0.049181358
AC016737.2	0
AC016738.1	0
AC016738.2	0
AC016739.1	13.70235389
AC016745.1	0
AC016745.2	0
AC016746.1	0
AC016747.1	2.441287293
AC016747.2	0
AC016747.3	0
AC016747.4	0
AC016751.1	0
AC016751.2	0
AC016757.1	0.117486918
AC016766.1	0
AC016769.1	0.026002817
AC016769.2	0
AC016769.3	0.083374111
AC016769.4	0
AC016772.1	0
AC016773.1	0.130986758
AC016813.1	0
AC016820.1	0
AC016822.1	0
AC016825.1	0
AC016831.1	0.047613558
AC016831.2	0
AC016831.3	0
AC016831.4	0
AC016831.5	0.026289134
AC016831.6	0
AC016866.1	0.637641152
AC016866.2	0.104632848
AC016866.3	0
AC016868.1	0
AC016876.1	1.340447663
AC016876.2	0.179733282
AC016876.3	0.061649871
AC016877.1	0
AC016877.2	0
AC016877.3	0.156326458
AC016885.1	0
AC016885.2	0
AC016885.3	0
AC016888.1	1.6269019
AC016894.1	0.422232234
AC016903.1	0
AC016903.2	0
AC016907.1	0
AC016907.2	0.006226374
AC016908.1	0
AC016909.1	0
AC016909.2	0
AC016910.1	0
AC016911.1	0
AC016912.1	0
AC016924.1	0
AC016925.1	0
AC016925.2	0
AC016930.1	0
AC016933.1	0
AC016949.1	0.539010972
AC016954.1	0
AC016956.1	0
AC016957.1	0
AC016957.2	0.681347393
AC016968.1	0
AC016987.1	0
AC016987.2	0
AC016991.1	0
AC016993.1	0
AC016994.1	0
AC016999.1	0.058103639
AC016999.2	0
AC017002.1	0.029810267
AC017002.2	0
AC017002.3	1.270306337
AC017002.4	0.017221538
AC017002.5	0
AC017006.1	0
AC017006.2	0
AC017007.1	0
AC017007.2	0
AC017007.3	0.060374356
AC017007.4	0
AC017007.5	0
AC017013.1	0
AC017015.1	0.092801572
AC017015.2	0
AC017019.1	0
