	00068002-f4f0-4610-bfe6-67169c760d21
	tumor
AC011997.1	0.055378824
AC011998.1	0
AC011998.2	0
AC011998.3	0
AC011999.1	0
AC012005.1	0
AC012020.1	0
AC012038.1	0
AC012038.2	0
AC012044.1	0
AC012048.1	0
AC012050.1	0.242165027
AC012055.1	0
AC012055.2	0
AC012065.1	0
AC012065.2	0.152402524
AC012065.3	0.130184388
AC012065.4	0
AC012065.5	0.901790082
AC012066.1	0.164700134
AC012070.1	0
AC012073.1	3.094816595
AC012074.1	0.094777689
AC012075.1	0
AC012078.1	0
AC012081.1	0
AC012085.1	0.224121359
AC012085.2	0.014661608
AC012087.1	0
AC012100.1	0
AC012100.2	0.187996534
AC012100.3	0.09939295
AC012103.1	0
AC012119.1	0
AC012123.1	0.017203777
AC012123.2	0
AC012146.1	0.071225008
AC012146.2	0
AC012146.3	0
AC012146.4	0
AC012150.1	0
AC012150.2	0
AC012157.1	0.114073745
AC012158.1	0
AC012170.1	0.397987092
AC012170.2	0.342734312
AC012170.3	0.096213715
AC012173.1	0.132909178
AC012174.1	0
AC012175.1	0
AC012181.1	0.040880505
AC012181.2	0.142639633
AC012182.1	0
AC012183.1	0.057265477
AC012184.1	0
AC012184.2	0
AC012184.3	0.322137298
AC012186.1	0
AC012186.2	0.178040332
AC012186.3	0
AC012213.1	0.657893778
AC012213.2	0
AC012213.3	0.036776671
AC012213.4	1.372268488
AC012229.1	0
AC012236.1	0.036564905
AC012254.1	0
AC012254.2	0
AC012254.3	0.013498098
AC012254.4	0
AC012254.5	0
AC012291.1	0.133218989
AC012301.1	0
AC012306.1	0
AC012306.2	3.764705203
AC012307.1	0
AC012308.1	0
AC012309.1	0.017276586
AC012309.2	0
AC012312.1	0
AC012313.1	2.157586214
AC012313.10	0.154295212
AC012313.2	0.965722232
AC012313.3	0.130795951
AC012313.4	0.981379889
AC012313.5	0.283824724
AC012313.6	0.217028911
AC012313.7	0
AC012313.8	0.259199961
AC012313.9	0.135428783
AC012314.10	0
AC012317.1	0
AC012317.2	0.012694568
AC012321.1	0
AC012322.1	0
AC012339.1	0
AC012339.2	0
AC012349.1	0
AC012354.1	0.010642634
AC012354.2	0.061985842
AC012354.3	0
AC012355.1	0.074318526
AC012358.1	0.311959315
AC012358.2	0.697448789
AC012358.3	0.566567071
AC012360.1	0.211984223
AC012360.2	0.219249155
AC012360.3	0.671096936
AC012361.1	0
AC012362.1	0.270674307
AC012363.1	0
AC012363.2	0.051487339
AC012366.1	0
AC012368.1	0.629056484
AC012368.2	0
AC012368.3	0.652408065
AC012370.1	0
AC012370.2	0
AC012377.1	0.005905243
AC012378.1	0
AC012379.1	0
AC012379.2	0
AC012400.1	0
AC012404.1	0.060032507
AC012404.2	0.118816936
AC012409.1	0
AC012409.2	0
AC012409.3	0
AC012409.4	0
AC012409.5	0
AC012413.1	0
AC012414.1	0
AC012414.2	0
AC012414.3	0
AC012414.4	0
AC012414.5	0.071349496
AC012414.6	0
AC012414.7	0
AC012417.1	0
AC012433.1	0
AC012435.1	0.135068707
AC012435.2	0.158312871
AC012441.1	0
AC012441.2	0
AC012442.1	0.540179078
AC012442.2	0.067236408
AC012443.1	0.247406695
AC012445.1	0
AC012447.1	0.544693771
AC012451.1	0
AC012454.1	0.028719069
AC012456.1	0.035608066
AC012456.2	0.101873345
AC012462.1	0
AC012462.2	0
AC012462.3	0
AC012464.1	0.158752629
AC012464.2	0.183411253
AC012464.3	0
AC012467.1	0
AC012467.2	0.774403068
AC012468.1	0
AC012485.1	0.01469176
AC012485.2	0
AC012486.1	0.264587715
AC012488.1	0.044649177
AC012491.1	0
AC012493.1	0
AC012493.2	0
AC012493.3	0
AC012494.1	0.025907047
AC012497.1	0
AC012498.1	0.130780198
AC012498.2	1.76676313
AC012499.1	0.038563392
AC012501.1	0.696962762
AC012501.2	0.869979279
AC012506.1	0
AC012506.2	0
AC012506.3	0
AC012506.4	0.038049898
AC012507.1	0
AC012507.2	0
AC012507.3	0
AC012508.1	0
AC012508.2	0
AC012510.1	0.978869966
AC012511.1	0
AC012512.1	0
AC012513.1	0
AC012513.2	0
AC012513.3	0.31060297
AC012519.1	0
AC012531.1	0.14927486
AC012531.2	0.04114539
AC012531.3	0
AC012531.4	0.161443352
AC012531.5	0
AC012555.1	0.169587378
AC012555.2	0
AC012557.1	0.233841843
AC012557.2	0
AC012558.1	0
AC012568.1	0
AC012569.1	0.056250932
AC012572.1	0
AC012574.1	0
AC012574.2	0
AC012588.1	0
AC012593.1	0
AC012594.1	0
AC012603.1	0
AC012613.1	0
AC012613.2	0.006303877
AC012615.1	2.63976658
AC012615.2	0
AC012615.3	0
AC012615.4	0.094153124
AC012615.5	0
AC012615.6	0.721955721
AC012616.1	0
AC012617.1	0.053432074
AC012618.1	0.069357945
AC012618.2	0.235604608
AC012618.3	0.357899796
AC012625.1	0
AC012629.1	0
AC012629.2	0
AC012629.3	0
AC012629.4	0
AC012636.1	0.008838686
AC012640.1	0.041534118
AC012640.2	2.346931208
AC012640.3	0.132909178
AC012640.4	0.022412136
AC012640.5	0.089578286
AC012645.1	1.281566678
AC012645.2	0.1033471
AC012645.3	0.070469724
AC012645.4	0.080797757
AC012651.1	0.04895156
AC012653.1	0
AC012653.2	0
AC012668.1	0
AC012668.2	0
AC012668.3	0
AC012669.1	0
AC012671.1	0
AC012676.1	0.542479481
AC012676.2	0
AC012676.3	0.536908683
AC012676.4	0.245493756
AC012676.5	1.183945438
AC013244.1	0.148059447
AC013244.2	0.277431779
AC013244.3	0
AC013248.1	0
AC013262.1	0
AC013264.1	0.125606476
AC013267.1	0
AC013268.1	0.006394154
AC013268.2	0
AC013268.3	0
AC013269.1	0
AC013269.2	0
AC013270.1	0.064944257
AC013275.1	0
AC013286.1	0
AC013290.1	0
AC013355.1	0
AC013356.1	0.050665733
AC013356.2	0.27438726
AC013356.3	0
AC013356.4	0
AC013391.1	0
AC013391.2	0.057036873
AC013391.3	0.039252024
AC013394.1	0.247485087
AC013399.1	0
AC013400.1	0
AC013401.1	0
AC013402.1	0
AC013402.2	0
AC013402.3	0
AC013403.1	0
AC013403.2	0.297661179
AC013404.1	0
AC013410.1	0.023194378
AC013410.2	0.568666134
AC013412.1	0
AC013417.1	0
AC013429.1	0
AC013429.2	0
AC013436.1	0.067714392
AC013437.1	0
AC013439.1	0
AC013442.1	0
AC013444.1	0
AC013444.2	0
AC013448.1	0
AC013448.2	0
AC013451.1	0
AC013451.2	0
AC013452.1	0
AC013452.2	0.038459587
AC013457.1	0.056529126
AC013460.1	0
AC013467.1	0
AC013467.2	0
AC013468.1	0.191140289
AC013470.1	0.061851674
AC013470.2	0
AC013470.3	0.047865114
AC013470.4	0
AC013472.1	0.011149229
AC013472.2	0
AC013472.3	0.173447485
AC013474.1	0
AC013476.1	0
AC013476.2	0
AC013480.1	0
AC013488.1	0
AC013489.1	0
AC013489.2	0
AC013489.3	0.110543417
AC013509.1	0
AC013546.1	0
AC013549.1	0.050486702
AC013549.2	0
AC013549.3	0
AC013553.1	0.107024244
AC013553.2	0.048515235
AC013553.3	0.092928368
AC013553.4	0
AC013562.1	0
AC013562.2	0
AC013564.1	0
AC013565.1	0.095730229
AC013565.2	0
AC013565.3	0.044371853
AC013640.1	0
AC013643.1	0
AC013643.2	0
AC013643.3	0.110075012
AC013644.1	0
AC013652.1	0.80208762
AC013652.2	0.025697368
AC013701.1	0
AC013714.1	0
AC013724.1	0
AC013726.1	0.025011355
AC013727.1	0
AC013727.2	0
AC013731.1	0.323618043
AC013733.1	0
AC013733.2	0
AC013734.1	0
AC013762.1	0
AC013791.1	0
AC013799.1	0
AC013828.1	0
AC015468.1	0
AC015468.2	0
AC015468.3	0
AC015468.4	0
AC015522.1	0
AC015540.1	0.114073745
AC015563.1	0
AC015563.2	0
AC015574.1	0
AC015656.1	0.015972875
AC015660.1	0.289371881
AC015660.2	0.353875829
AC015660.3	1.010244003
AC015660.4	0
AC015660.5	0.050665733
AC015674.1	0
AC015688.1	0
AC015688.2	0
AC015688.3	0
AC015688.4	0
AC015688.5	0
AC015688.6	0
AC015688.7	0
AC015689.1	0.618516736
AC015689.2	0
AC015712.1	0.019320807
AC015712.2	0.719435501
AC015712.3	0
AC015712.4	0
AC015712.5	0
AC015712.6	0.022553649
AC015712.7	0
AC015720.1	0
AC015720.2	0
AC015722.1	0
AC015722.2	0
AC015726.1	0.286573514
AC015726.2	0
AC015726.3	0.205087128
AC015727.1	0
AC015743.1	0
AC015771.1	0
AC015795.1	0
AC015799.1	0.091529383
AC015802.1	0.335253999
AC015802.2	0.15119298
AC015802.3	1.554104684
AC015802.4	0.382536455
AC015802.5	0.716177274
AC015804.1	0
AC015813.1	0.309747903
AC015813.2	0
AC015813.3	0.004674542
AC015813.4	0.31927903
AC015813.5	1.396687595
AC015813.6	3.458773705
AC015813.7	0
AC015818.1	0
AC015818.2	0.136073682
AC015818.3	2.320065485
AC015818.4	0
AC015818.5	0
AC015818.6	0.090143449
AC015818.7	0
AC015818.8	0
AC015818.9	0
AC015819.1	0.560303397
AC015819.2	0.308924035
AC015819.3	0.02137283
AC015845.1	0.062255933
AC015845.2	0
AC015849.1	0
AC015849.2	0
AC015849.3	2.049470416
AC015849.4	0.135750467
AC015849.5	0.258466622
AC015849.6	0
AC015853.1	0.04826938
AC015853.2	0
AC015853.3	0
AC015871.1	0.026434295
AC015871.2	0
AC015871.3	0.783582194
AC015871.4	0.012644015
AC015871.5	0
AC015878.1	0
AC015878.2	0
AC015883.1	0.068889762
AC015908.1	0
AC015908.2	0
AC015908.3	0.030367134
AC015908.4	0
AC015908.5	0
AC015909.1	0
AC015909.2	0
AC015909.3	0.015928357
AC015909.4	0.049438535
AC015909.5	0.126105354
AC015910.1	0
AC015911.1	0
AC015911.2	0
AC015911.3	0.134631205
AC015911.4	0
AC015911.5	0
AC015911.6	0.062528388
AC015911.7	0.119313041
AC015911.8	0.153082892
AC015911.9	0
AC015912.1	0
AC015912.2	0
AC015912.3	1.724382005
AC015914.1	0
AC015914.2	0
AC015917.1	0
AC015917.2	0
AC015920.1	0
AC015921.1	0.022447347
AC015922.1	0
AC015922.2	0
AC015922.3	0.823500669
AC015922.4	0.57979221
AC015923.1	0
AC015936.1	0
AC015936.2	0
AC015959.1	0
AC015961.1	0
AC015961.2	0
AC015967.1	0
AC015967.2	0
AC015969.1	0
AC015971.1	0.109905666
AC015977.1	0.195722419
AC015977.2	0
AC015982.1	0.737431567
AC015983.1	0.153219696
AC015983.2	0.060541257
AC015987.1	0.035541633
AC016026.1	0.191471517
AC016027.1	0.332421612
AC016027.2	0.022924567
AC016027.3	0
AC016027.4	0
AC016027.5	0
AC016044.1	0.099914242
AC016065.1	2.220588921
AC016065.2	0.064359174
AC016074.1	0
AC016134.1	0.040303911
AC016144.1	0.026288384
AC016152.1	0.054847357
AC016168.1	0
AC016168.2	0
AC016168.3	0.008803288
AC016180.1	0
AC016182.1	0.049098751
AC016205.1	0.451948534
AC016229.1	0
AC016229.2	0.068526315
AC016245.1	0.008918687
AC016251.1	0
AC016251.2	0
AC016252.1	0
AC016256.1	0
AC016257.1	0.133738564
AC016266.1	0
AC016292.1	0
AC016292.2	0
AC016304.1	0
AC016355.1	0.260963226
AC016382.1	0
AC016383.1	0
AC016394.1	0.577589352
AC016394.2	1.101346364
AC016395.1	0
AC016396.1	0
AC016396.2	0
AC016397.1	0
AC016397.2	0.028791409
AC016405.1	0.168421257
AC016405.2	0.366352221
AC016405.3	0.166136472
AC016493.1	0
AC016526.1	0
AC016526.2	0.329716999
AC016526.3	0
AC016542.1	0.173887261
AC016542.2	0.046163931
AC016542.3	0.046163931
AC016546.1	0.123436169
AC016550.1	0
AC016550.2	0
AC016550.3	0
AC016553.1	0
AC016556.1	0
AC016559.1	0
AC016559.2	0
AC016573.1	0.05301572
AC016575.1	0
AC016576.1	0
AC016582.1	0.979506623
AC016582.2	0.478918546
AC016582.3	0.08454282
AC016583.1	0
AC016586.1	0.208885038
AC016588.1	0
AC016590.1	0.041101004
AC016590.2	0.076201262
AC016590.3	0.303590685
AC016595.1	0
AC016596.1	0.074902944
AC016596.2	13.18867995
AC016597.1	0.039252024
AC016597.2	0
AC016598.1	0
AC016598.2	0
AC016612.1	0
AC016629.1	0
AC016629.2	0.025513815
AC016632.1	0
AC016642.1	0
AC016644.1	0
AC016650.1	0
AC016651.1	0
AC016683.1	0.079819758
AC016687.1	0
AC016687.2	0
AC016687.3	0
AC016691.1	0
AC016694.1	0
AC016696.1	0
AC016700.1	0
AC016700.2	0.732704442
AC016700.3	0
AC016705.1	0.030222605
AC016705.2	0.7802984
AC016708.1	0.054222909
AC016710.1	0
AC016712.1	0
AC016716.1	0.040360838
AC016716.2	0
AC016717.1	0
AC016717.2	0.011116698
AC016717.3	0
AC016722.1	0
AC016722.2	0.12457972
AC016722.3	0
AC016723.1	0.061985842
AC016724.1	0
AC016727.1	0.873422513
AC016727.2	0
AC016730.1	0
AC016734.1	0.305853689
AC016734.2	0
AC016735.1	0.241143234
AC016735.2	0
AC016737.1	0.428096977
AC016737.2	0
AC016738.1	0.098394743
AC016738.2	0.060863628
AC016739.1	5.963577021
AC016745.1	0.168752795
AC016745.2	0.024898757
AC016746.1	0
AC016747.1	1.571696983
AC016747.2	0.096975588
AC016747.3	0.072251513
AC016747.4	0.041323895
AC016751.1	0
AC016751.2	0
AC016757.1	0.108165934
AC016766.1	0
AC016769.1	0.056585095
AC016769.2	0
AC016769.3	0.090715788
AC016769.4	0
AC016772.1	0
AC016773.1	0.534453988
AC016813.1	0
AC016820.1	0
AC016822.1	0
AC016825.1	0
AC016831.1	0.060440644
AC016831.2	0
AC016831.3	0
AC016831.4	0
AC016831.5	0.014302039
AC016831.6	0
AC016866.1	0.043361871
AC016866.2	0
AC016866.3	0
AC016868.1	0
AC016876.1	0.945313386
AC016876.2	0.124447312
AC016876.3	0
AC016877.1	0
AC016877.2	0
AC016877.3	0.45357894
AC016885.1	0
AC016885.2	0
AC016885.3	0
AC016888.1	13.30150347
AC016894.1	0
AC016903.1	0
AC016903.2	0
AC016907.1	0
AC016907.2	0.02032395
AC016908.1	0
AC016909.1	0
AC016909.2	0.016701036
AC016910.1	0
AC016911.1	0
AC016912.1	0
AC016924.1	0
AC016925.1	0
AC016925.2	0
AC016930.1	0
AC016933.1	0
AC016949.1	0.829153859
AC016954.1	0
AC016956.1	0
AC016957.1	0
AC016957.2	0.067394984
AC016968.1	0
AC016987.1	0
AC016987.2	0
AC016991.1	0
AC016993.1	0
AC016994.1	0
AC016999.1	0
AC016999.2	0
AC017002.1	0.03243527
AC017002.2	0.144320572
AC017002.3	0.128573558
AC017002.4	0
AC017002.5	0
AC017006.1	0.157008095
AC017006.2	0
AC017007.1	0
AC017007.2	0
AC017007.3	0
AC017007.4	0
AC017007.5	0
AC017013.1	0.035764047
AC017015.1	0
AC017015.2	0.075998599
AC017019.1	0
AC017033.1	0.040360838
AC017035.1	0
AC017037.1	0
AC017037.2	0
AC017037.3	0.121082514
AC017037.4	0
AC017048.1	0
AC017048.2	0
AC017048.3	0
AC017053.1	0
AC017067.1	0
AC017071.1	0.077791669
AC017074.1	0.611240069
AC017074.2	0
AC017076.1	0.049438535
AC017078.1	0
AC017079.1	0
AC017079.2	0
AC017081.1	0
AC017083.1	0.321072733
AC017083.2	0
AC017083.3	0.008416929
AC017091.1	0
AC017099.1	0
AC017100.1	0.537776228
AC017100.2	0
AC017101.1	0.050044612
AC017104.1	0
AC017104.2	0.178040332
AC017104.3	0.150926795
AC017116.1	0
AC018358.1	0
AC018359.1	0
AC018362.1	0
AC018362.2	0
AC018371.1	0
AC018371.2	0
AC018410.1	0.05331245
AC018410.2	0.515295419
AC018413.1	0.697463094
AC018437.1	0
AC018437.2	0
AC018442.1	0.013864858
AC018442.2	0
AC018442.3	0
AC018445.1	0.050308932
AC018445.2	0.219811333
AC018445.3	0
AC018445.4	0.012472926
AC018448.1	0
AC018448.2	0
AC018450.1	0.191524619
AC018450.2	0
AC018462.1	0.077819916
AC018462.2	0.07234297
AC018463.1	0.062323824
AC018464.1	0
AC018467.1	0
AC018470.1	0.018264924
AC018475.1	0.245810522
AC018495.1	0
AC018511.1	0
AC018511.2	0
AC018512.1	0
AC018521.1	0
AC018521.2	0
AC018521.3	0
AC018521.4	0
AC018521.5	0.200014978
AC018521.6	1.876598242
AC018521.7	0
AC018523.1	0.111622942
AC018523.2	0
AC018529.1	0.237469307
AC018529.2	0.091441514
AC018529.3	0.012677672
AC018541.1	0
AC018552.1	0.035234862
AC018552.2	0
AC018552.3	0.102789472
AC018553.1	1.46993175
AC018554.1	0
AC018554.2	0
AC018554.3	0
AC018557.1	0
AC018557.2	0
AC018558.1	0
AC018558.2	0
AC018558.3	0
AC018558.4	0
AC018563.1	0
AC018607.1	0.042459841
AC018616.1	0.052336032
AC018618.1	0
AC018618.2	0
AC018620.1	0
AC018628.1	0.748244913
AC018629.1	3.571934153
AC018630.1	0
AC018630.2	0
AC018634.1	0
AC018635.1	0
AC018635.2	0.235512142
AC018638.1	1.38547749
AC018638.2	6.877967501
AC018638.3	0
AC018638.4	2.683609659
AC018638.5	5.00260274
AC018638.6	0
AC018638.7	0.230861094
AC018638.8	0.305076227
AC018639.1	0.129300784
AC018641.1	0.287190686
AC018643.1	0
AC018644.1	0
AC018645.1	0
AC018645.2	2.905980328
AC018647.1	0
AC018647.2	2.490148381
AC018648.1	0.042777655
AC018653.1	0
AC018653.2	0
AC018653.3	0.824059448
AC018659.1	0
AC018659.2	0
AC018665.1	0.986084612
AC018680.1	0
AC018682.1	0.188120298
AC018682.2	0.071617727
AC018685.1	0
AC018685.2	0
AC018690.1	1.415079345
AC018692.1	0
AC018692.2	0
AC018692.3	0
AC018693.1	0
AC018693.2	0
AC018695.1	0.086070702
AC018695.2	0
AC018695.3	0
AC018695.4	0.041473836
AC018695.5	0
AC018695.6	0.160536366
AC018695.7	0
AC018697.1	0.031470785
AC018709.1	0
AC018710.1	0
AC018712.1	0
AC018714.1	0
AC018716.1	0.20374669
AC018716.2	0.143042415
AC018717.1	0
AC018730.1	0
AC018730.2	0
AC018731.1	0
AC018735.1	0
AC018737.1	0
AC018737.2	0.018899123
AC018738.1	20.54712599
AC018742.1	0
AC018752.1	0.277431779
AC018755.1	0.048351055
AC018755.2	0
AC018755.3	0.465904455
AC018755.4	0.377649426
AC018761.1	0
AC018761.2	0
AC018761.3	0.147296254
AC018761.4	0
AC018765.1	0.00829236
AC018766.1	0.472321871
AC018767.1	0
AC018767.2	0
AC018767.3	0
AC018781.1	0.205367877
AC018797.1	0.112060679
AC018797.2	0.776683304
AC018797.3	0
AC018804.1	0.786056707
AC018809.1	0.15502065
AC018809.2	0.29151019
AC018814.1	0
AC018816.1	0.09136842
AC018816.2	0
AC018832.1	0
AC018845.1	0.038407894
AC018845.2	0
AC018845.3	0.166136472
AC018846.1	0
AC018861.1	0
AC018861.2	0
AC018865.1	0
AC018865.2	0
AC018866.1	0
AC018868.1	0.362863152
AC018868.2	0.068090881
AC018878.1	0.065994164
AC018880.1	0
AC018880.2	0
AC018889.1	0.071978522
AC018892.1	0
AC018892.2	0
AC018892.3	0.045739053
AC018904.1	1.054445506
AC018904.2	0.016263787
AC018926.1	0.197072229
AC018926.2	0.286902342
AC018926.3	0.140765878
AC018943.1	0
AC018946.1	0
AC018946.2	0
AC018953.1	0
AC018980.1	0
AC018992.1	0.013297102
AC019055.1	0
AC019064.1	0
AC019068.1	0.051256454
AC019069.1	4.8447539
AC019070.1	0
AC019072.1	0
AC019077.1	0.071978522
AC019080.1	2.259418954
AC019080.2	0
AC019080.3	0.386155044
AC019080.4	0.151997198
AC019080.5	0.037748313
AC019084.1	0
AC019097.1	0.194390974
AC019103.1	0
AC019109.1	0
AC019117.1	0.159461346
AC019117.2	0
AC019118.1	0.065690743
AC019118.2	0
AC019129.1	0
AC019129.2	0
AC019130.1	0
AC019131.1	0
AC019131.2	0.722598174
AC019133.1	0
AC019155.1	0
AC019155.2	0.014898578
AC019155.3	0.619135253
AC019159.1	0
AC019163.1	0
AC019171.1	0.027060107
AC019176.1	0
AC019176.2	0
AC019178.1	0.129888515
AC019178.2	0.056585095
AC019181.1	1.198326297
AC019183.1	0
AC019185.1	0.1469176
AC019185.2	0
AC019185.3	0
AC019186.1	0.52432061
AC019193.1	0
AC019193.2	0
AC019193.3	0
AC019197.1	0.028518436
AC019205.1	0.471967275
AC019206.1	0.134472815
AC019209.1	0
AC019209.2	0
AC019209.3	0
AC019211.1	0
AC019226.1	0
AC019226.2	0.202184952
AC019227.1	0.05603034
AC019235.1	0
AC019254.1	0.187503105
AC019254.2	0
AC019257.1	0
AC019257.2	0
AC019270.1	0
AC019278.1	0
AC019288.1	0.127569077
AC019294.1	0
AC019294.2	0.022961409
AC019294.3	0
AC019322.1	0
AC019322.2	0
AC019322.3	0
AC019322.4	0
AC019330.1	0
AC019349.1	0
AC020549.1	0
AC020549.2	0
AC020550.1	0
AC020551.1	0.265078601
AC020558.1	0.067236408
AC020558.2	0.682935838
AC020558.3	0
AC020559.1	0.147043602
AC020571.1	0.088909375
AC020593.1	0
AC020594.1	0
AC020595.1	0
AC020604.1	0
AC020611.1	0
AC020611.2	0
AC020612.1	0.316918372
AC020612.2	0
AC020612.3	0.551456501
AC020629.1	0.051955406
AC020633.1	0.0381515
AC020634.1	0
AC020636.1	0.101152118
AC020636.2	0
AC020637.1	0
AC020651.1	0
AC020656.1	0
AC020656.2	0.010764917
AC020658.1	0.060928514
AC020658.2	0
AC020658.3	0.035471044
AC020658.4	0.626655115
AC020658.5	0.064650392
AC020658.6	0.09168601
AC020658.7	0.035105004
AC020659.1	0.172094282
AC020659.2	0.087565291
AC020661.1	0.685522716
AC020661.2	0
AC020661.3	0.228603786
AC020661.4	0.015412877
AC020663.1	0.051394736
AC020663.2	0.277817101
AC020663.3	0.130960006
AC020687.1	0
AC020688.1	0.022897014
AC020699.1	0
AC020703.1	0.054847357
AC020704.1	0
AC020718.1	0
AC020719.1	0
AC020728.1	0
AC020741.1	0
AC020743.1	0
AC020743.2	0
AC020743.3	0
AC020763.1	0
AC020763.2	0
AC020763.3	0.019680078
AC020763.4	0.178168418
AC020763.5	0
AC020765.1	0
AC020765.2	1.05835086
AC020765.3	0.038615504
AC020765.4	0.071438683
AC020779.1	0
AC020779.2	0.072711128
AC020891.1	0
AC020891.2	0.036824063
AC020891.3	0
AC020891.4	0
AC020892.1	0.033421606
AC020892.2	0
AC020893.1	0
AC020893.2	0.039523476
AC020895.1	0
AC020895.2	0
AC020897.1	0
AC020898.1	2.06963402
AC020899.1	0.237337817
AC020900.1	0.050576059
AC020904.1	0
AC020904.2	0.493815782
AC020904.3	0
AC020905.1	0
AC020907.1	0.359839292
AC020907.2	0
AC020907.3	0
AC020907.4	0.597585942
AC020907.5	0.014760058
AC020908.1	0.102055262
AC020908.2	0
AC020908.3	0.046845038
AC020909.1	0
AC020909.2	0
AC020909.3	0
AC020910.1	0.069190008
AC020910.2	0
AC020910.3	0.163475247
AC020910.4	2.11670172
AC020910.5	0.750776508
AC020910.6	0.019585657
AC020911.1	0.09887707
AC020911.2	0.035585894
AC020913.1	0
AC020913.2	0
AC020913.3	0.228603786
AC020914.1	0
AC020914.2	0
AC020914.3	0
AC020915.1	0.074362481
AC020915.2	0.415643247
AC020915.3	0.928597357
AC020915.4	0.029642607
AC020916.1	3.221586609
AC020916.2	0.238128944
AC020917.1	0.09599823
AC020917.2	0
AC020917.3	0
AC020917.4	0.557500478
AC020922.1	0.056066985
AC020922.2	0
AC020922.3	0.261201766
AC020922.4	0.084293431
AC020923.1	0
AC020928.1	0.227693014
AC020928.2	0.013939255
AC020928.3	0
AC020931.1	0.042459841
AC020934.1	0
AC020934.2	0.062665511
AC020937.1	0
AC020951.1	0.025165542
AC020978.1	0
AC020978.2	0
AC020978.3	0.124241188
AC020978.4	0.268062601
AC020978.5	0
AC020978.6	0
AC020978.7	0.047279075
AC020978.8	0
AC020978.9	0.158517788
AC020980.1	0
AC020983.1	0.105250362
AC021001.1	0
AC021006.1	0
AC021006.2	0
AC021006.3	0
AC021016.1	0.229521873
AC021016.2	0.25115162
AC021016.3	0.539159872
AC021028.1	0
AC021035.1	0
AC021054.1	0.218565943
AC021066.1	0
AC021074.1	0.361143421
AC021074.2	0
AC021074.3	0
AC021078.1	1.488995247
AC021086.1	0.133452298
AC021087.1	0.164226858
AC021087.2	0.142521063
AC021087.3	0.218209098
AC021087.4	1.671969178
AC021088.1	0
AC021092.1	0.131080152
AC021097.1	0
AC021106.1	1.080358156
AC021106.2	0
AC021106.3	0.538144505
AC021127.1	0
AC021146.1	0
AC021146.10	0
AC021146.11	0
AC021146.12	0
AC021146.2	0
AC021146.3	0
AC021146.4	0
AC021146.5	0
AC021146.6	0
AC021146.7	0
AC021146.8	0
AC021146.9	0
AC021148.1	0.051923937
AC021151.1	0
AC021171.1	0.080950349
AC021171.2	0
AC021180.1	0
AC021188.1	0.115846513
AC021192.1	0
AC021193.1	0
AC021205.1	0
AC021205.2	0
AC021205.3	0.016720581
AC021218.1	0.011267931
AC021220.1	0
AC021224.1	0.200061656
AC021231.1	0.021293199
AC021231.2	0.039144484
AC021231.3	0
AC021237.1	0
AC021242.1	0
AC021242.2	0
AC021242.3	0.124511866
AC021269.1	0
AC021269.2	0
AC021321.1	0.359439915
AC021351.1	0.022083055
AC021355.1	0
AC021382.1	0
AC021393.1	0
AC021422.1	0.060413263
AC021439.1	0.096702109
AC021443.1	0
AC021451.1	0
AC021483.1	0.05301572
AC021483.2	0.073648127
AC021491.1	0
AC021491.2	0.032252227
AC021491.3	0
AC021491.4	0.055529485
AC021504.1	0.62336457
AC021506.1	0
AC021506.2	0
AC021517.1	0
AC021534.1	0.417922826
AC021546.1	0
AC021549.1	0
AC021594.1	0
AC021594.2	0
AC021613.1	0
AC021646.1	0
AC021660.1	0
AC021660.2	0
AC021678.1	0.061058703
AC021678.2	0
AC021678.3	0
AC021683.1	0.113202214
AC021683.2	0.08439301
AC021683.3	0.006194553
AC021683.4	0
AC021698.1	0
AC021713.1	0
AC021723.1	0
AC021733.1	0
AC021733.2	0
AC021736.1	0
AC021739.1	0
AC021739.2	0.296426071
AC021739.3	0.167108031
AC021739.4	0.100441031
AC021739.5	0.173535263
AC021744.1	0
AC021749.1	0
AC021752.1	0.010706434
AC021755.1	0
AC021755.2	0.033073464
AC021755.3	0
AC021766.1	0
AC021785.1	0.315402574
AC021818.1	0
AC021818.2	0
AC021820.1	0.035365685
AC021851.1	0.290508508
AC021860.1	0
AC021876.1	0.557181929
AC021915.1	0
AC021915.2	0
AC021945.1	0.103910812
AC021979.1	0
AC021979.2	0
AC022001.1	0.1066249
AC022001.2	0
AC022001.3	0
AC022007.1	0.383563399
AC022017.1	0
AC022018.1	0.355711285
AC022022.1	0
AC022022.2	0
AC022028.1	0
AC022028.2	0
AC022031.1	0.011020236
AC022031.2	1.416006391
AC022034.1	0
AC022034.2	0.550679417
AC022034.3	0
AC022034.4	0.182785543
AC022035.1	0.094620772
AC022039.1	0
AC022069.1	0
AC022075.1	10.99600365
AC022075.2	0.559306415
AC022075.3	0.792540089
AC022079.1	1.234156651
AC022079.2	0.454380316
AC022080.1	0
AC022080.2	0
AC022080.3	0
AC022081.1	0
AC022087.1	0
AC022092.1	0
AC022098.1	0.439484679
AC022098.2	0
AC022098.3	0
AC022098.4	0
AC022101.1	0.063080515
AC022106.1	0
AC022106.2	0
AC022107.1	0.434081203
AC022113.1	0.051210525
AC022113.2	0
AC022118.1	0
AC022121.1	0
AC022126.1	0.144563945
AC022133.1	0
AC022137.1	0
AC022137.2	0
AC022140.1	0
AC022140.2	0
AC022144.1	0.687258217
