	944c32ab-2edb-486a-92db-fecd68f690af
	tumor
AC026124.2	0.306922992
AC026150.1	0.071805094
AC026150.2	0.021771354
AC026150.3	0.252181216
AC026167.1	0
AC026185.1	0.14464187
AC026191.1	0.289985459
AC026202.1	0
AC026202.2	0.299615302
AC026202.3	0
AC026250.1	0.267741334
AC026254.1	0
AC026254.2	0.831531455
AC026271.1	1.848368584
AC026271.2	0
AC026271.3	0.205954872
AC026271.4	0.387195159
AC026304.1	1.749625186
AC026310.1	0
AC026310.2	0.034570996
AC026310.3	0
AC026316.1	0
AC026316.2	0
AC026316.3	0
AC026320.1	0
AC026320.2	0
AC026333.1	0
AC026333.2	0
AC026333.3	0.012041955
AC026333.4	0.462641275
AC026336.1	0
AC026336.2	0
AC026336.3	0.012123163
AC026336.4	0
AC026336.5	0
AC026347.1	0
AC026348.1	0.023900936
AC026353.1	0
AC026355.1	0.257250617
AC026355.2	0
AC026355.3	0
AC026356.1	0.574943439
AC026356.2	0.252237381
AC026358.1	0.011155889
AC026362.1	0.282229295
AC026362.2	0
AC026367.1	0.453100719
AC026367.2	0.864712517
AC026367.3	1.407684097
AC026368.1	0.364749063
AC026369.1	0.180463271
AC026369.2	1.005793057
AC026369.3	0.30063788
AC026371.1	0
AC026391.1	0
AC026396.1	0
AC026401.1	0.094972398
AC026401.2	0
AC026401.3	15.72266966
AC026402.1	0
AC026403.1	15.2712396
AC026407.1	0
AC026410.1	0.160012532
AC026410.2	1.129319215
AC026410.3	0.672213819
AC026412.1	1.369110114
AC026412.2	0.585295009
AC026412.3	0.378803211
AC026414.1	0
AC026415.1	0
AC026421.1	0
AC026422.1	0
AC026427.1	0.045347181
AC026427.2	0.046954637
AC026434.1	0
AC026434.2	0
AC026436.1	3.076050434
AC026444.1	0
AC026458.1	0
AC026458.2	0
AC026461.1	0
AC026461.2	0
AC026461.3	0
AC026461.4	0.1039987
AC026462.1	0.272451262
AC026462.2	0
AC026462.3	0
AC026462.4	0
AC026464.1	0
AC026464.2	0
AC026464.3	0
AC026464.4	0.019601001
AC026464.5	0.10457487
AC026468.1	0
AC026469.1	0.00761273
AC026470.1	0
AC026470.2	0
AC026470.3	0
AC026471.1	1.638477864
AC026471.2	0.922174731
AC026471.3	0.130628125
AC026471.4	10.145548
AC026471.5	0
AC026471.6	0.568089486
AC026474.1	0
AC026477.1	0
AC026495.1	0.063836868
AC026523.1	0
AC026523.2	0.009756177
AC026583.1	0
AC026585.1	0.288179603
AC026616.1	0
AC026620.1	0.077201489
AC026688.1	0.064643027
AC026688.2	0
AC026691.1	0.237077849
AC026700.1	0.092528255
AC026704.1	0.522964891
AC026719.1	0
AC026719.2	0
AC026725.1	0.031697337
AC026726.1	0.041876348
AC026740.1	1.272702168
AC026741.1	0
AC026746.1	0
AC026748.1	0.015483042
AC026765.1	0
AC026765.2	0.018923072
AC026770.1	0
AC026771.1	0.060645025
AC026774.1	0
AC026774.2	0
AC026780.1	0.055313594
AC026780.2	0.034476281
AC026782.1	0.056052751
AC026782.2	0.039571832
AC026784.1	0
AC026785.1	0
AC026785.2	0
AC026785.3	1.942768695
AC026786.1	0
AC026786.2	0.064203279
AC026787.1	0
AC026790.1	0
AC026797.1	0
AC026798.1	0
AC026801.1	0
AC026801.2	0.578937171
AC026803.1	0.091852866
AC026803.2	0.37246046
AC026826.1	0
AC026826.2	0
AC026826.3	0
AC026877.1	0.249714809
AC026884.1	0
AC026887.1	0
AC026888.1	0
AC026894.1	0
AC026898.1	0
AC026904.1	0.09928081
AC026904.2	0.093734396
AC026904.3	0.09882599
AC026904.4	0.315158851
AC026951.1	0
AC026951.2	0
AC026954.1	0.253039373
AC026954.2	0.009789065
AC026954.3	0
AC026956.1	0
AC026979.1	0
AC026979.2	0.999213315
AC026979.3	0.546275341
AC026991.1	0
AC026992.1	0.028502475
AC026992.2	0.03655058
AC027013.1	0.023810488
AC027018.1	0
AC027020.1	0.079644574
AC027020.2	0.842785613
AC027026.1	0
AC027031.1	0
AC027031.2	10.42889288
AC027045.1	0
AC027088.1	0
AC027088.2	0.054951278
AC027088.3	0
AC027088.4	0.012926392
AC027097.1	1.249459557
AC027097.2	0.359184486
AC027104.1	0.850009932
AC027117.1	3.393932879
AC027117.2	0.246742013
AC027119.1	0
AC027124.1	0
AC027124.2	0
AC027130.1	0
AC027139.1	0
AC027139.2	0
AC027176.1	0
AC027176.2	0.033736844
AC027176.3	0
AC027216.1	0
AC027228.1	0
AC027228.2	1.472204436
AC027228.3	0.019879688
AC027229.1	0
AC027237.1	0
AC027237.2	0.321837409
AC027237.3	0.12222717
AC027237.4	0.036264676
AC027243.1	0.066405502
AC027243.2	0.208571978
AC027250.1	0
AC027271.1	0.288809504
AC027277.1	0
AC027277.2	0.173570244
AC027279.1	0.00587481
AC027279.2	0
AC027279.3	0
AC027279.4	0
AC027281.1	0
AC027281.2	0.035298296
AC027287.1	0
AC027287.2	0
AC027288.1	0.036108587
AC027288.2	0.207141443
AC027288.3	0.100536693
AC027290.1	0
AC027290.2	0.248143506
AC027306.1	0
AC027307.1	0.385500651
AC027307.2	6.298827951
AC027307.3	0.160157998
AC027308.1	0
AC027309.1	0
AC027309.2	4.981104395
AC027309.3	0
AC027312.1	0
AC027313.1	0.090639923
AC027315.1	0
AC027319.1	0
AC027328.1	0
AC027334.1	0
AC027335.1	0
AC027335.2	0
AC027338.1	0.122025141
AC027338.2	0.047847311
AC027343.1	0
AC027343.2	0
AC027343.3	0
AC027345.1	0
AC027348.1	0.450153722
AC027348.2	0
AC027369.1	0
AC027369.2	0
AC027369.3	0
AC027369.4	0
AC027369.5	0
AC027369.6	0
AC027373.1	0.727262362
AC027419.1	0
AC027419.2	0
AC027449.1	0
AC027451.1	0
AC027455.1	0.042369841
AC027458.1	0
AC027506.1	0
AC027514.1	0
AC027514.2	0.355587391
AC027541.1	0
AC027544.1	0
AC027544.2	0.119846121
AC027544.3	0
AC027559.1	0.601759003
AC027575.1	0.018323761
AC027575.2	0.472430954
AC027601.1	0.631147014
AC027601.2	0.687812519
AC027601.3	0.741680315
AC027601.4	0
AC027601.5	0.11154091
AC027607.1	0.329913479
AC027612.1	0.021016856
AC027612.2	0
AC027612.3	0.216341135
AC027612.4	0
AC027613.1	0.02572068
AC027627.1	0.066846442
AC027644.1	2.280293641
AC027644.2	0.419461423
AC027644.3	1.897742882
AC027667.1	0
AC027673.1	0
AC027682.1	0.111980803
AC027682.2	0
AC027682.3	0
AC027682.4	0.233821401
AC027682.5	0.047486199
AC027682.6	0.142512375
AC027682.7	0.154257383
AC027688.1	0
AC027688.2	0
AC027698.1	0
AC027701.1	0
AC027702.1	0.11375225
AC027763.1	0.908833083
AC027763.2	2.194584809
AC027779.1	0
AC027796.1	0.245778177
AC027796.2	0.658456885
AC027796.3	0.04761454
AC027796.4	2.793209932
AC027796.5	0.089884591
AC027801.1	0.695107501
AC027801.2	0.027717715
AC027801.3	0.036056856
AC027801.4	0.191146977
AC027801.5	0.060499244
AC027804.1	0
AC027807.1	0
AC027807.2	0
AC027808.1	0
AC027808.2	0.067655068
AC032011.1	0.048743096
AC032019.1	0
AC032019.2	0
AC032044.1	0.036422121
AC032044.2	0.405930409
AC034102.1	1.000040478
AC034102.2	0
AC034102.3	0.083892285
AC034102.4	0
AC034102.5	0.372854598
AC034102.6	0.2333943
AC034102.7	0
AC034102.8	0.15599805
AC034105.1	0
AC034105.2	0
AC034105.3	0.056940465
AC034105.4	0
AC034105.5	0
AC034111.1	0.013351557
AC034114.1	0
AC034114.2	0
AC034154.1	0
AC034159.1	0
AC034187.1	0
AC034195.1	0
AC034198.1	0
AC034198.2	0.246742013
AC034199.1	0.034602684
AC034205.1	0
AC034205.2	0
AC034205.3	0
AC034206.1	0.510730932
AC034207.1	0.026548191
AC034213.1	0.187352497
AC034222.1	0
AC034223.1	0
AC034223.2	0
AC034226.1	0
AC034228.1	0
AC034228.2	0
AC034228.3	0.044782358
AC034229.1	0
AC034229.2	0
AC034229.3	0
AC034229.4	0.399487069
AC034229.5	0
AC034229.6	0.224711476
AC034231.1	0.609273575
AC034232.1	0
AC034232.2	0
AC034234.1	0
AC034236.1	22.80610631
AC034236.2	1.219304012
AC034236.3	0.054593678
AC034238.1	0.060791511
AC034238.2	0
AC034238.3	0
AC034243.1	0.128625309
AC034244.1	0
AC034244.2	0
AC034245.1	0
AC034268.1	0
AC035139.1	0.276567971
AC035140.1	0.051050072
AC036101.1	0
AC036103.1	0.254733658
AC036108.1	0
AC036108.2	0.029470358
AC036108.3	0.244437736
AC036108.4	0.410125238
AC036111.1	0
AC036111.2	0
AC036111.3	0
AC036164.1	0.075578635
AC036176.1	0.22442522
AC036176.2	0.043656002
AC036176.3	0.180629321
AC036214.1	0.635599386
AC036214.2	2.936687387
AC036214.3	0.315978473
AC036222.1	0
AC036222.2	0
AC037198.1	0.240346245
AC037198.2	0.095694621
AC037441.1	0
AC037441.2	0
AC037450.1	0
AC037459.1	0
AC037459.2	0.123492077
AC037459.3	0.860277245
AC037459.4	0
AC037471.1	0
AC037471.2	0
AC037479.1	0
AC037486.1	0.063715659
AC037487.1	0.518816473
AC037487.2	0.093734396
AC037487.3	4.943652483
AC037487.4	0.201341483
AC039056.1	0
AC039056.2	0.591021966
AC040160.1	0.61109434
AC040160.2	0.150254838
AC040162.1	0.455984449
AC040162.2	0
AC040162.3	0.405826511
AC040168.1	0
AC040169.1	0.289838987
AC040169.2	0.049591498
AC040169.3	0.164494676
AC040170.1	0.089247111
AC040173.1	0
AC040174.1	0.322409564
AC040174.2	0.920108927
AC040896.1	0
AC040904.1	0.112859576
AC040914.1	0
AC040918.1	0
AC040926.1	0
AC040934.1	0.196239262
AC040936.1	0
AC040958.1	0
AC040963.1	0
AC040970.1	1.652896313
AC040975.1	0
AC040977.1	3.815509152
AC040977.2	0
AC040978.1	0
AC041039.1	0
AC041040.1	0.017363012
AC044781.1	0
AC044784.1	0
AC044784.2	0
AC044787.1	2.4468583
AC044792.1	0
AC044797.1	0.037065811
AC044798.1	0
AC044798.2	0
AC044802.1	0.03478602
AC044802.2	0.057990058
AC044810.1	0.070795177
AC044810.2	0.098102246
AC044810.3	0.042729517
AC044836.1	0
AC044839.1	0
AC044839.2	0
AC044839.3	0.042156927
AC044839.4	0
AC044839.5	0
AC044840.1	0
AC044849.1	0.035447444
AC044860.1	0.01529021
AC044860.2	0.421804783
AC044860.3	0.068390449
AC044873.1	0
AC044913.1	0
AC046130.1	0
AC046130.2	0.126789347
AC046134.1	0.415682491
AC046136.1	0.094437844
AC046143.1	2.718731444
AC046143.2	6.921113476
AC046144.1	0
AC046158.1	0.07000747
AC046158.2	0
AC046158.3	0
AC046158.4	0.01868425
AC046168.1	0.065987639
AC046168.2	0.041123669
AC046176.1	0.645325266
AC046185.1	0
AC046185.2	1.035957993
AC046185.3	0.551922925
AC046195.1	0.006033969
AC046195.2	0
AC048334.1	0
AC048337.1	0.136780899
AC048338.1	0
AC048341.1	0.801961216
AC048341.2	6.612283935
AC048344.1	0
AC048344.2	0
AC048344.3	0
AC048344.4	1.289426005
AC048346.1	0
AC048347.1	0
AC048351.1	0.51751734
AC048380.1	0
AC048380.2	0.01418697
AC048380.3	0.031617695
AC048382.1	0.123613386
AC048382.2	0.971922809
AC048382.3	0
AC048382.4	0
AC048382.5	0.294605013
AC048382.6	0
AC048383.1	0
AC048387.1	0
AC051618.1	0
AC051619.1	0
AC051619.2	0.316973367
AC051619.3	0.010374149
AC051619.4	0.430953517
AC051619.5	0.761084643
AC051619.6	0.084597262
AC051619.7	0.444373257
AC051619.8	0
AC051619.9	0
AC051649.1	0
AC053481.1	0
AC053481.2	0.013866493
AC053481.3	0
AC053481.4	0
AC053503.1	0.04849265
AC053503.2	0.283490824
AC053503.3	0
AC053503.4	0
AC053503.5	0.118715497
AC053503.6	0
AC053513.1	0.57974343
AC053527.1	0.514376051
AC055713.1	0.653587674
AC055716.1	0
AC055716.2	0.020620799
AC055716.3	0
AC055717.1	0
AC055717.2	0
AC055717.3	0
AC055720.1	0
AC055720.2	0.146323752
AC055731.1	0
AC055733.1	0
AC055733.2	0.074022604
AC055733.3	0.096243539
AC055736.1	0
AC055748.1	0.078731028
AC055753.1	0
AC055758.1	0.796165794
AC055758.2	0.472738276
AC055764.1	0
AC055764.2	0.413200805
AC055811.1	0
AC055811.2	0.089194396
AC055811.3	0.036687588
AC055811.4	1.133550253
AC055813.1	0.225240707
AC055822.1	0.395896174
AC055854.1	0
AC055855.1	1.258384268
AC055855.2	0.043542708
AC055860.1	0
AC055872.1	0
AC055874.1	0
AC055876.1	0
AC055876.2	0.046094662
AC055876.3	0
AC055876.4	0.212087236
AC055876.5	0
AC055878.1	0
AC058791.1	0.031479281
AC058823.1	0.106192765
AC060234.1	0
AC060234.2	0
AC060234.3	0
AC060764.1	0
AC060765.1	0
AC060766.1	1.605593963
AC060766.2	0
AC060766.3	0.095694621
AC060766.4	1.593484735
AC060766.5	0.202266128
AC060766.6	0.127754748
AC060766.7	0.789085845
AC060771.1	0
AC060773.1	0
AC060780.1	3.381049252
AC060780.2	2.796409485
AC060780.3	5.033537073
AC060788.1	0
AC060809.1	0.133870667
AC060814.1	0
AC060814.2	0
AC060814.3	0.023271091
AC060814.4	0
AC060814.5	0
AC060834.1	0
AC060834.2	0
AC061709.1	0
AC061709.2	0
AC061961.1	0.058258531
AC061965.1	0.06871723
AC061975.1	0.073589723
AC061975.2	0
AC061975.3	0
AC061975.4	0
AC061975.5	0.052396292
AC061975.6	0
AC061975.7	0.174533186
AC061979.1	0
AC061992.1	0.741472212
AC061999.1	0
AC062004.1	0
AC062015.1	0.044387452
AC062016.1	0
AC062016.2	0
AC062017.1	0.246339498
AC062020.1	0
AC062021.1	0
AC062022.1	0
AC062028.1	0.120953756
AC062028.2	0.088204505
AC062029.1	1.786359176
AC062031.1	0
AC062032.1	0
AC062037.1	0.393245084
AC062037.2	0.344762813
AC062039.1	0
AC063919.1	0
AC063923.1	0
AC063923.2	0
AC063924.1	0
AC063926.1	0.060645025
AC063926.2	0
AC063926.3	0
AC063943.1	0.212087236
AC063944.1	0.159674137
AC063944.2	0.128782016
AC063944.3	0
AC063947.1	0
AC063947.2	0.060113898
AC063948.1	1.792948562
AC063949.1	0.02909559
AC063949.2	0
AC063950.1	0.039202002
AC063952.1	1.454958441
AC063952.2	0.041023122
AC063952.3	0
AC063955.1	0
AC063961.1	0.285996425
AC063962.1	0
AC063965.1	0.504362432
AC063976.1	0
AC063976.2	0.035387634
AC063976.3	0
AC063976.4	0
AC063977.1	0
AC063977.2	0
AC063977.3	0
AC063977.4	0
AC063977.5	0
AC063977.6	0.014275488
AC063977.7	0
AC063979.1	0
AC063979.2	0.023281855
AC063980.1	0
AC064799.1	1.496456968
AC064799.2	0
AC064801.1	0.185511194
AC064801.2	0.019315184
AC064802.1	0
AC064805.1	0
AC064805.2	0.144365308
AC064807.1	1.506387007
AC064807.2	0.037451913
AC064807.3	0
AC064807.4	0.989393037
AC064834.1	0
AC064836.1	0.071499106
AC064836.2	0.054475509
AC064836.3	2.206379549
AC064847.1	0.198954035
AC064850.1	0.108015817
AC064852.1	0
AC064853.1	0
AC064859.1	0
AC064862.1	0
AC064862.2	0
AC064862.3	0
AC064862.4	0
AC064862.5	0
AC064862.6	0
AC064862.7	0
AC064871.1	0
AC064872.1	0
AC064874.1	0
AC064875.1	0.035372713
AC066595.1	0
AC066612.1	0.030286023
AC066612.2	0
AC066613.1	0.836930155
AC066613.2	0
AC066616.1	0
AC066616.2	0
AC066692.1	0
AC067735.1	2.966533256
AC067747.1	0.302012224
AC067750.1	0.253791785
AC067773.1	0
AC067805.1	0
AC067817.1	0
AC067817.2	0.455229451
AC067819.1	0
AC067838.1	0.959599789
AC067852.1	0
AC067852.2	1.643026585
AC067852.3	0.405930409
AC067852.4	0.047042403
AC067863.1	0.317773805
AC067863.2	1.031462515
AC067904.1	0
AC067904.2	0.078465114
AC067904.3	0
AC067930.1	0
AC067930.2	0
AC067930.3	0.215415281
AC067930.4	1.415050583
AC067930.5	3.154006606
AC067930.6	0.396822207
AC067931.1	0.037507728
AC067931.2	0
AC067940.1	0
AC067942.1	0.168571235
AC067942.2	0.019848332
AC067942.3	0
AC067945.1	0.12217323
AC067945.2	0
AC067945.3	0.145198185
AC067956.1	0.085438311
AC067959.1	0
AC067960.1	0
AC067968.1	0.013365738
AC067968.2	0.08893175
AC067969.1	0
AC067969.2	0
AC068014.1	0.060938705
AC068020.1	0
AC068025.1	0.891768379
AC068025.2	0.12013215
AC068042.1	0
AC068044.1	0
AC068050.1	0.132461502
AC068051.1	0
AC068057.1	0
AC068057.2	0
AC068058.1	0
AC068075.1	0
AC068112.1	0
AC068134.1	0
AC068134.2	0
AC068134.3	1.213670107
AC068134.4	0
AC068135.1	0
AC068135.2	0
AC068137.1	0.25857211
AC068137.2	0
AC068138.1	0.115980117
AC068152.1	1.939445288
AC068189.1	0.19018402
AC068196.1	0.030213308
AC068213.1	0
AC068228.1	0.226735904
AC068228.2	0
AC068234.1	0
AC068234.2	0.141193186
AC068234.3	0.048213957
AC068254.1	0
AC068254.2	0
AC068276.1	0
AC068279.1	0.028341988
AC068282.1	0.430376776
AC068286.1	0.05389226
AC068287.1	0
AC068295.1	0.164494676
AC068298.1	0.156321027
AC068299.1	0
AC068305.1	0
AC068305.2	0.770902074
AC068313.1	0
AC068338.1	0
AC068338.2	1.267184158
AC068338.3	0.66230751
AC068385.1	0
AC068389.1	0
AC068389.2	0.117059002
AC068389.3	0
AC068389.4	0
AC068397.1	0
AC068397.2	0
AC068408.1	0
AC068413.1	0
AC068418.1	0
AC068418.2	0
AC068446.1	0.097486193
AC068446.2	0
AC068446.3	0.131767986
AC068448.1	0
AC068472.1	0
AC068473.1	0
AC068473.2	0
AC068473.3	0.134870675
AC068473.4	0
AC068473.5	2.028476572
AC068481.1	0
AC068483.1	0
AC068489.1	0
AC068490.1	0
AC068491.1	0
AC068491.2	0.040790414
AC068491.3	0.124592502
AC068491.4	0.104244851
AC068492.1	0.268312211
AC068506.1	0.075127419
AC068512.1	0.013897121
AC068522.1	0.656548314
AC068531.1	0
AC068533.1	0
AC068533.2	1.48045208
AC068533.3	0.373777505
AC068533.4	0.136484194
AC068535.1	0
AC068538.1	0
AC068580.1	0.699102371
AC068580.2	0
AC068580.3	0.574547656
AC068580.4	0.201947325
AC068587.1	0
AC068587.2	0.811860818
AC068587.3	0
AC068594.1	0.01867039
AC068594.2	0.084313854
AC068599.1	0
AC068620.1	0.761215436
AC068620.2	1.033672792
AC068631.1	0.0680269
AC068633.1	0.023543204
AC068643.1	0.030506285
AC068643.2	0
AC068647.1	0.422239313
AC068647.2	5.29166718
AC068657.1	0.164494676
AC068658.1	0
AC068669.1	0.406659189
AC068672.1	0.076730748
AC068672.2	0
AC068672.3	0
AC068675.1	0.358897474
AC068700.1	0.013408463
AC068707.1	0.193102445
AC068714.1	0
AC068721.1	0
AC068722.1	0
AC068722.2	0.231320638
AC068724.1	0.094615359
AC068724.2	0
AC068726.1	0.369027645
AC068733.1	0
AC068733.2	0
AC068756.1	0
AC068759.1	0
AC068760.1	0.01288668
AC068768.1	1.662557803
AC068768.2	0.293500704
AC068769.1	0
AC068775.1	0
AC068781.1	0
AC068787.1	0
AC068789.1	0
AC068790.1	0
AC068790.2	0.225921772
AC068790.3	0.273067111
AC068790.4	0.191389242
AC068790.5	0.141789777
AC068790.6	0.097549168
AC068790.7	0.285996425
AC068790.8	0
AC068790.9	0.026604319
AC068792.1	0.362124969
AC068802.1	0
AC068831.1	0.474095257
AC068831.2	0
AC068831.3	0.076730748
AC068831.4	0
AC068831.5	0
AC068831.6	0.86785122
AC068858.1	0
AC068860.1	0.013473065
AC068867.1	0
AC068870.1	0.061509618
AC068870.2	2.846730478
AC068870.3	0
AC068875.1	0
AC068880.1	0
AC068880.2	0
AC068880.3	0
AC068880.4	0.050843809
AC068880.5	0
AC068888.1	7.252161205
AC068888.2	0.046954637
AC068896.1	0.11032007
AC068898.1	0.075127419
AC068898.2	0
AC068944.1	0
AC068944.2	0
AC068946.1	0.173196975
AC068985.1	0.250602841
AC068987.1	0
AC068987.2	0
AC068987.3	0.049012046
AC068987.4	0.300473799
AC068992.1	0
AC068993.1	0.042729517
AC068993.2	0
AC069023.1	0
AC069029.1	0
AC069061.1	0
AC069061.2	0
AC069079.1	0
AC069113.1	0
AC069113.2	0
AC069113.3	0
AC069114.1	0
AC069114.2	0
AC069120.1	5.51165669
AC069133.1	0
AC069148.1	0.524326778
AC069152.1	0
AC069154.1	0.60365297
AC069155.1	0
AC069157.1	0
AC069185.1	0.346026838
AC069200.1	0
AC069209.1	0.231960234
AC069213.1	0.410999665
AC069213.2	0.412585006
AC069213.3	1.486698714
AC069218.1	1.056910672
AC069218.2	0
AC069222.1	0.786490168
AC069224.1	0.953877288
AC069228.1	0.076265713
AC069234.1	0.043169272
AC069234.2	0
AC069234.3	0
AC069234.4	0.12217323
AC069234.5	0.483993949
AC069235.1	0
AC069236.1	0
AC069240.1	0
AC069257.1	0.997320865
AC069257.2	3.896931928
AC069257.3	0.035547578
AC069262.1	0
AC069271.1	0.645325266
AC069272.1	0
AC069277.1	0.21646041
AC069277.2	0
AC069280.1	0
AC069281.1	0.309076838
AC069281.2	2.29317015
AC069282.1	22.91886177
AC069285.1	0
AC069285.2	0
AC069287.1	0
AC069287.2	0
AC069287.3	0
AC069294.1	0.359538362
AC069304.1	0
AC069304.2	0
AC069304.3	0.023217422
AC069306.1	0
AC069307.1	0.16891064
AC069335.1	0
AC069360.1	0.079728676
AC069366.1	0.540594674
AC069366.2	0
AC069368.1	0
AC069421.1	0.077918531
AC069431.1	0.053633853
AC069431.2	0.022900533
AC069437.1	0
AC069439.1	0
AC069439.2	5.263204164
AC069444.1	0
AC069454.1	0
AC069499.1	1.878923465
AC069499.2	0.197651979
AC069503.1	0
AC069503.2	0.219925159
AC069503.3	0.520710732
AC069528.1	0.055071522
AC069528.2	1.908749618
AC069540.1	0
AC069540.2	0
AC069542.1	0.090368709
AC069542.2	0
AC069544.1	0.604629078
AC069545.1	0
AC069547.1	0.50779693
AC069549.1	0
AC072022.1	0.140405497
AC072026.1	0.125212365
AC072039.1	0.043317875
AC072039.2	0.171988738
AC072046.1	0
AC072046.2	0
AC072052.1	2.467420134
AC072061.1	0.168986249
AC072062.1	0.006600494
AC073023.1	0
AC073046.1	1.419715585
AC073046.2	0
AC073050.1	0
AC073052.1	0.458235168
AC073052.2	0.049542688
AC073055.1	0
AC073062.1	0
AC073063.1	1.824346221
AC073065.1	0
AC073071.1	0
AC073072.1	0
AC073072.2	0.650888415
AC073073.1	1.956882663
AC073073.2	1.073873309
AC073082.1	0.023935031
AC073089.1	0.117606006
AC073091.1	0.029129265
AC073091.2	0
AC073094.1	0
AC073107.1	0
AC073107.2	1.691945235
AC073109.1	0.02573383
AC073111.1	0.659153664
AC073111.2	0
AC073114.1	0
AC073115.1	0.236538396
AC073115.2	0.136041543
AC073127.1	0
AC073130.1	0.029493381
AC073130.2	0.63125056
AC073130.3	0.110481499
AC073133.1	0.524326778
AC073133.2	0.111939297
AC073135.1	0
AC073136.1	0.191986504
AC073136.2	0.029643917
AC073137.1	0.039696665
AC073143.1	0
AC073150.1	0.023217422
AC073167.1	0
AC073172.1	0
AC073172.2	0
AC073174.1	0.12129005
AC073176.1	0
AC073176.2	0
AC073188.1	0
AC073188.2	0
AC073188.3	0
AC073188.4	0
AC073188.5	0
AC073188.6	0
AC073195.1	2.353192931
AC073210.1	0.216962805
AC073210.2	0
AC073218.1	0.147179447
AC073218.2	0
AC073254.1	0.202692768
AC073255.1	0
AC073257.1	0
AC073257.2	0.095332142
AC073261.1	0
AC073263.1	0.079644574
AC073263.2	0.067546123
AC073263.3	0
AC073264.1	0
AC073264.2	0
AC073283.1	0.117059002
AC073283.2	0.037175311
AC073283.3	0
AC073284.1	0
AC073288.1	0
AC073288.2	0.151612562
AC073308.1	0
AC073310.1	0.024363684
AC073311.1	0
AC073314.1	0.09085807
AC073316.1	0.029179925
AC073316.2	0.903146604
AC073316.3	0.333177098
AC073320.1	0.147755491
AC073321.1	0.423309693
AC073323.1	0
AC073324.1	0.05261537
AC073325.1	0
AC073325.2	0.633149317
AC073326.1	0.135553063
AC073332.1	0.297564419
AC073333.1	0.62142433
AC073333.2	0
AC073335.1	1.109319465
AC073335.2	4.790710234
AC073336.1	0
AC073342.1	0.189434191
AC073342.2	0
AC073342.3	0
AC073343.1	1.314441325
AC073343.2	0.915854635
AC073346.1	0.023217422
AC073346.2	0.146750352
AC073347.1	0
AC073348.1	0
AC073349.1	0.023698385
AC073349.2	0.926321545
AC073349.3	0.270620273
AC073352.1	1.697820045
AC073352.2	0
AC073358.1	0
AC073359.1	0.048306498
AC073359.2	0
AC073365.1	1.970512531
AC073367.1	0.180542937
AC073370.1	0.143815345
AC073387.1	0
AC073387.2	0
AC073389.1	0.411547056
AC073389.2	0.062528411
AC073389.3	1.049775112
AC073409.1	0
AC073410.1	0.512754201
AC073410.2	0
AC073413.1	0.034382084
AC073413.2	0
AC073415.1	2.960904161
AC073429.1	0.05003516
AC073429.2	5.943338442
AC073439.1	0.241178496
AC073464.1	0
AC073464.2	0
AC073464.3	0
AC073465.1	0
AC073465.2	0
AC073476.1	1.731437814
AC073476.2	0
AC073476.3	0.090350685
AC073476.4	0
AC073486.1	0
AC073487.1	0.428183683
AC073488.1	0
AC073508.1	0
AC073508.2	0
AC073508.3	3.990647785
AC073517.1	0.279124052
AC073521.1	0
AC073522.1	0.066757786
AC073525.1	0
AC073529.1	0.326853057
AC073530.1	0
AC073530.2	0
AC073534.1	0.330284585
AC073539.1	0
AC073539.2	0
AC073539.3	0
AC073544.1	0.015779113
AC073548.1	0.922725978
AC073551.1	0
AC073569.1	0
AC073569.2	0.710951564
AC073569.3	0.073805529
AC073571.1	0
AC073573.1	0.261618351
AC073575.1	0
AC073575.2	1.605593963
AC073578.1	0
AC073578.2	0
AC073578.3	0
AC073578.4	0
AC073581.1	0
AC073583.1	0
AC073585.1	0.189515703
AC073587.1	0
AC073591.1	0
AC073592.1	0.196315798
AC073592.10	0
AC073592.2	0
AC073592.3	0.027445677
AC073592.4	0
AC073592.5	0
AC073592.6	0.12129005
AC073592.7	0
AC073592.8	0
AC073592.9	0
AC073593.1	0
AC073594.1	0
AC073610.1	0.63554761
AC073610.2	0
AC073610.3	0.026802647
AC073611.1	2.372842052
AC073612.1	0
AC073614.1	0
AC073621.1	0
AC073626.1	0
AC073626.2	0.079644574
AC073636.1	0.038959265
AC073641.1	0.1759978
AC073648.1	0
AC073648.2	0
AC073648.3	0
AC073648.4	0.032224949
AC073648.5	0
AC073651.1	0.054124055
AC073651.2	0
AC073655.1	0.153150215
AC073655.2	0.608895614
AC073657.1	0
AC073657.2	0.166123336
AC073834.1	0
AC073842.1	0.073589723
AC073842.2	1.847976898
AC073848.1	0
AC073850.1	0.888271248
AC073857.1	7.47389518
AC073861.1	28.95106291
AC073862.1	0
AC073862.2	0
AC073862.3	0
AC073862.4	0
AC073862.5	0
AC073863.1	0.088307668
AC073864.1	0
AC073869.1	10.629071
AC073869.2	0
AC073869.3	0.086785122
AC073869.4	0
AC073873.1	0
AC073878.1	0.159541587
AC073878.2	0
AC073896.1	0.119504679
AC073896.2	2.228388808
AC073896.3	1.670166763
AC073896.4	11.99055978
AC073896.5	0
AC073900.1	0.162162921
AC073901.1	0
AC073909.1	0.075578635
AC073910.1	0.229841875
AC073911.1	0
AC073911.2	0.107554211
AC073911.3	0.199426984
AC073912.1	0.042875103
AC073912.2	0
AC073912.3	0.118019627
AC073913.1	0
AC073913.2	0
AC073916.1	0.387195159
